"Manage Custom Carrier Trackers","Manage Custom Carrier Trackers"
"Add Carrier Tracker","Add Carrier Tracker"
"The carrier tracker has been saved.","The carrier tracker has been saved."
"Something went wrong while saving the carrier tracker.","Something went wrong while saving the carrier tracker."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while editing the custom carrier tracker.","Something went wrong while editing the custom carrier tracker."
"New Carrier Tracker","New Carrier Tracker"
"The carrier tracker has been deleted.","The carrier tracker has been deleted."
"We can't find a carrier tracker to delete.","We can't find a carrier tracker to delete."
